Ticket #,Create Date,Close Date,Status
7488,2019-03-27 @ 11:13 AM,2019-03-27 @ 11:23 AM,closed
7489,2019-03-27 @ 01:40 PM,2019-03-27 @ 04:28 PM,closed
7490,2019-03-27 @ 01:49 PM,2019-06-26 @ 08:56 AM,closed
7491,2019-03-27 @ 02:48 PM,2019-03-28 @ 02:47 PM,closed
7492,2019-03-27 @ 03:26 PM,2019-03-27 @ 04:33 PM,closed
7493,2019-03-27 @ 04:02 PM,2019-03-27 @ 04:50 PM,closed
7494,2019-04-01 @ 07:52 AM,2019-04-02 @ 09:18 AM,closed
7495,2019-04-01 @ 07:58 AM,2019-04-03 @ 02:27 PM,closed
7496,2019-04-01 @ 11:00 AM,2019-04-01 @ 11:13 AM,closed
7497,2019-04-02 @ 02:01 PM,2019-04-03 @ 02:27 PM,closed
7498,2019-04-02 @ 03:22 PM,2019-04-02 @ 03:33 PM,closed
7499,2019-04-03 @ 08:25 AM,2019-04-03 @ 08:55 AM,closed
7500,2019-04-03 @ 01:37 PM,2019-04-03 @ 04:02 PM,closed
7501,2019-04-03 @ 02:23 PM,2019-04-03 @ 02:48 PM,closed
7502,2019-04-03 @ 03:52 PM,2019-04-03 @ 04:15 PM,closed
7503,2019-04-08 @ 08:06 AM,2019-04-08 @ 11:38 AM,closed
7504,2019-04-08 @ 08:06 AM,2019-04-08 @ 08:19 AM,closed
7505,2019-04-08 @ 08:06 AM,2019-04-08 @ 02:54 PM,closed
7506,2019-04-08 @ 08:06 AM,2019-04-08 @ 11:38 AM,closed
7507,2019-04-08 @ 08:06 AM,2019-04-08 @ 08:16 AM,closed
7508,2019-04-08 @ 08:13 AM,2019-04-10 @ 08:48 AM,closed
7509,2019-04-08 @ 08:23 AM,2019-05-15 @ 03:00 PM,closed
7510,2019-04-08 @ 08:51 AM,2019-05-15 @ 02:59 PM,closed
7511,2019-04-08 @ 09:29 AM,2019-04-26 @ 08:56 AM,closed
7512,2019-04-08 @ 09:43 AM,2019-04-26 @ 08:56 AM,closed
7513,2019-04-08 @ 10:26 AM,2019-04-15 @ 08:57 AM,closed
7514,2019-04-08 @ 01:46 PM,2019-05-31 @ 02:47 PM,closed
7515,2019-04-09 @ 11:10 AM,2019-04-09 @ 11:21 AM,closed
7516,2019-04-09 @ 03:53 PM,2019-04-12 @ 08:20 AM,closed
7517,2019-04-10 @ 11:23 AM,2019-04-12 @ 08:20 AM,closed
7518,2019-04-10 @ 11:44 AM,2019-04-12 @ 08:20 AM,closed
7519,2019-04-10 @ 11:45 AM,2019-04-12 @ 08:20 AM,closed
7520,2019-04-10 @ 11:50 AM,2019-04-12 @ 08:21 AM,closed
7521,2019-04-10 @ 12:54 PM,2019-04-12 @ 08:21 AM,closed
7522,2019-04-10 @ 01:00 PM,2019-04-12 @ 08:21 AM,closed
7523,2019-04-10 @ 02:27 PM,2019-04-22 @ 09:29 AM,closed
7524,2019-04-10 @ 05:46 PM,2019-04-12 @ 08:20 AM,closed
7525,2019-04-11 @ 09:11 AM,2019-04-16 @ 04:30 PM,closed
7526,2019-04-12 @ 10:40 AM,2019-04-12 @ 11:01 AM,closed
7527,2019-04-12 @ 03:19 PM,2019-04-15 @ 12:57 PM,closed
7528,2019-04-15 @ 07:52 AM,2019-04-15 @ 08:20 AM,closed
7529,2019-04-15 @ 08:20 AM,2019-07-16 @ 10:35 AM,closed
7530,2019-04-15 @ 08:35 AM,2019-04-22 @ 10:53 AM,closed
7531,2019-04-15 @ 08:49 AM,2019-04-16 @ 01:34 PM,closed
7532,2019-04-16 @ 10:43 AM,2019-04-17 @ 12:21 PM,closed
7533,2019-04-16 @ 12:26 PM,2019-04-16 @ 01:23 PM,closed
7534,2019-04-16 @ 12:27 PM,2019-04-22 @ 11:15 AM,closed
7535,2019-04-16 @ 02:53 PM,2019-05-28 @ 02:19 PM,closed
7536,2019-04-16 @ 03:06 PM,2019-04-16 @ 03:21 PM,closed
7537,2019-04-16 @ 03:10 PM,2019-04-16 @ 03:21 PM,closed
7538,2019-04-17 @ 09:09 AM,2019-04-22 @ 11:16 AM,closed
7539,2019-04-17 @ 10:07 AM,2019-04-26 @ 04:17 PM,closed
7540,2019-04-17 @ 10:59 AM,2019-04-17 @ 11:18 AM,closed
7541,2019-04-17 @ 12:43 PM,2019-04-26 @ 08:55 AM,closed
7542,2019-04-17 @ 04:52 PM,2019-04-18 @ 09:46 AM,closed
7543,2019-04-18 @ 07:56 AM,2019-04-18 @ 09:21 AM,closed
7544,2019-04-18 @ 10:26 AM,2019-04-18 @ 10:32 AM,closed
7545,2019-04-22 @ 07:52 AM,2019-04-22 @ 08:58 AM,closed
7546,2019-04-22 @ 10:25 AM,2019-04-22 @ 11:02 AM,closed
7547,2019-04-23 @ 10:17 AM,2019-04-26 @ 04:17 PM,closed
7548,2019-04-24 @ 09:56 AM,2019-04-24 @ 12:22 PM,closed
7549,2019-04-24 @ 10:27 AM,2019-04-24 @ 10:38 AM,closed
7550,2019-04-24 @ 11:52 AM,2019-04-24 @ 12:23 PM,closed
7551,2019-04-24 @ 12:16 PM,2019-04-24 @ 12:23 PM,closed
7552,2019-04-25 @ 08:43 AM,2019-05-27 @ 07:51 AM,closed
7553,2019-04-25 @ 10:09 AM,2019-04-25 @ 10:29 AM,closed
7554,2019-04-25 @ 01:53 PM,2019-04-26 @ 04:17 PM,closed
7555,2019-04-26 @ 08:13 AM,2019-04-26 @ 11:15 AM,closed
7556,2019-04-26 @ 03:03 PM,2019-04-30 @ 07:59 AM,closed
7557,2019-04-29 @ 07:55 AM,2019-04-29 @ 09:12 AM,closed
7558,2019-04-29 @ 09:09 AM,2019-05-02 @ 11:57 AM,closed
7559,2019-04-29 @ 09:41 AM,2019-04-29 @ 10:06 AM,closed
7560,2019-04-29 @ 01:30 PM,2019-04-29 @ 02:48 PM,closed
7561,2019-04-29 @ 01:33 PM,2019-05-02 @ 11:57 AM,closed
7562,2019-04-30 @ 07:50 AM,2019-04-30 @ 07:58 AM,closed
7563,2019-04-30 @ 08:58 AM,2019-04-30 @ 09:20 AM,closed
7564,2019-04-30 @ 09:59 AM,2019-05-03 @ 10:24 AM,closed
7565,2019-04-30 @ 02:20 PM,2019-05-03 @ 10:25 AM,closed
7566,2019-05-02 @ 08:26 AM,2019-05-03 @ 02:05 PM,closed
7567,2019-05-02 @ 12:00 PM,2019-05-02 @ 12:16 PM,closed
7568,2019-05-03 @ 09:49 AM,2019-05-08 @ 09:31 AM,closed
7569,2019-05-06 @ 07:50 AM,2019-05-06 @ 08:32 AM,closed
7570,2019-05-06 @ 08:18 AM,2019-05-06 @ 10:03 AM,closed
7571,2019-05-06 @ 11:05 AM,2019-05-06 @ 11:17 AM,closed
7572,2019-05-06 @ 11:24 AM,2019-05-06 @ 11:46 AM,closed
7573,2019-05-06 @ 03:08 PM,2019-05-08 @ 09:30 AM,closed
7574,2019-05-06 @ 03:23 PM,2019-05-07 @ 08:59 AM,closed
7575,2019-05-07 @ 08:06 AM,2019-05-07 @ 11:33 AM,closed
7576,2019-05-07 @ 09:07 AM,2019-05-09 @ 09:47 AM,closed
7577,2019-05-07 @ 12:33 PM,2019-05-07 @ 02:39 PM,closed
7578,2019-05-07 @ 01:46 PM,2019-07-16 @ 10:34 AM,closed
7579,2019-05-09 @ 09:20 AM,2019-05-09 @ 12:19 PM,closed
7580,2019-05-09 @ 10:14 AM,2019-05-10 @ 04:12 PM,closed
7581,2019-05-09 @ 11:33 AM,2019-05-22 @ 12:17 PM,closed
7582,2019-05-09 @ 02:20 PM,2019-05-09 @ 02:24 PM,closed
7583,2019-05-10 @ 08:39 AM,2019-05-10 @ 01:34 PM,closed
7584,2019-05-10 @ 12:54 PM,2019-05-10 @ 01:34 PM,closed
7585,2019-05-13 @ 09:02 AM,2019-05-13 @ 09:35 AM,closed
7586,2019-05-13 @ 11:16 AM,2019-05-14 @ 12:03 PM,closed
7587,2019-05-13 @ 12:36 PM,2019-05-20 @ 03:17 PM,closed
7588,2019-05-14 @ 08:10 AM,2019-05-14 @ 09:32 AM,closed
7589,2019-05-14 @ 10:03 AM,2019-05-16 @ 08:46 AM,closed
7590,2019-05-14 @ 11:06 AM,2019-05-15 @ 11:04 AM,closed
7591,2019-05-15 @ 08:15 AM,2019-05-15 @ 10:52 AM,closed
7592,2019-05-15 @ 10:40 AM,2019-08-08 @ 01:01 PM,closed
7593,2019-05-15 @ 03:57 PM,2019-05-15 @ 03:58 PM,closed
7594,2019-05-16 @ 09:39 AM,2019-05-16 @ 10:22 AM,closed
7595,2019-05-16 @ 02:33 PM,2019-06-06 @ 09:33 AM,closed
7596,2019-05-16 @ 03:53 PM,2019-05-29 @ 07:49 AM,closed
7597,2019-05-16 @ 04:19 PM,2019-07-10 @ 11:21 AM,closed
7598,2019-05-17 @ 08:36 AM,2019-05-17 @ 10:07 AM,closed
7599,2019-05-17 @ 08:46 AM,2020-01-31 @ 11:40 AM,closed
7600,2019-05-17 @ 12:07 PM,2019-05-21 @ 02:04 PM,closed
7601,2019-05-17 @ 12:25 PM,2019-05-20 @ 11:02 AM,closed
7602,2019-05-20 @ 08:50 AM,2019-05-20 @ 09:26 AM,closed
7603,2019-05-20 @ 10:46 AM,2019-05-20 @ 12:41 PM,closed
